Date,Description,Amount
2024-01-15,Whole Foods Market,-45.23
2024-01-16,Shell Gas Station,-38.50
2024-01-17,Starbucks Coffee,-5.75
2024-01-18,Amazon.com,-127.99
2024-01-19,Netflix Subscription,-15.99
2024-01-20,Walmart Supercenter,-68.42
2024-01-21,McDonald's,-12.34
2024-01-22,CVS Pharmacy,-23.67
2024-01-23,Uber Ride,-18.50
2024-01-24,Electric Company,-142.00
2024-01-25,Target Store,-54.89
2024-01-26,Chipotle Mexican Grill,-14.25
2024-01-27,Movie Theater,-28.00
2024-01-28,Spotify Premium,-9.99
2024-01-29,Trader Joe's,-32.17
2024-01-30,Salary Deposit,3500.00
